"","Name","Agency","LAT","LONG","ELEV_FT","ELEV_SRC","Ratio","N","Spear","Distance"
"1","aasu_UH","UH",-14.30980833,-170.7715583,"1175","MESONET",NA,NA,NA,NA
"2","aasufou80","USGS",-14.31393611,-170.7701056,"1340","USGS",NA,NA,NA,482.850064454963
"3","aasufou90","USGS",-14.31421389,-170.7712167,"1320","USGS",NA,NA,NA,488.831917194403
"4","afono_UH","UH",-14.26737778,-170.6506194,"276","MESONET",1.09529459509063,1187,0.754901474543253,13867.8316623492
"5","airport5101","USGS",-14.33166667,-170.7141667,"10","USGS",NA,NA,NA,6647.11906041357
"6","airport80","USGS",-14.3369266,-170.7209097,"25","DEM",NA,NA,NA,6233.63566141807
"7","aoloafou","USGS",-14.30949167,-170.7739944,"1340","USGS",NA,NA,NA,265.150341773409
"8","aua","USGS",-14.26755,-170.6606611,"240","USGS",NA,NA,NA,12846.6081097997
"9","aunuu","USGS",-14.28532778,-170.5534389,"140","USGS",NA,NA,NA,23689.028790643
"10","aunuu_UH","UH",-14.28516111,-170.5535361,"112","MESONET",NA,NA,NA,23680.7354543961
"11","fagaitua","USGS",-14.26727222,-170.61705,"160","USGS",NA,NA,NA,17322.6723317911
"12","GML_SMO","NOAA",-14.2474,-170.5644,"138","NOAA",NA,NA,NA,23395.1123706215
"13","iliili","USGS",-14.34180556,-170.7469444,"200","USGS",NA,NA,NA,4425.4067208409
"14","malaeimi","USGS",-14.31166667,-170.7327778,"150","USGS",NA,NA,NA,4188.9705813772
"15","malaeimi_1691","USGS",-14.31754722,-170.7392722,"140","USGS",NA,NA,NA,3586.91150495629
"16","maloata","USGS",-14.30726944,-170.8126056,"130","USGS",NA,NA,NA,4437.42362634245
"17","masefau","USGS",-14.26055556,-170.62,"730","USGS",NA,NA,NA,17237.1276846311
"18","matatula","USGS",-14.24699722,-170.5642722,"260","USGS",NA,NA,NA,23421.4915793732
"19","mt_alava","USGS",-14.26560556,-170.6889944,"1,610","USGS",NA,NA,NA,10162.6817146869
"20","pioa_afono","USGS",-14.26643889,-170.6559389,"870","USGS",NA,NA,NA,13366.1385414018
"21","poloa_UH","UH",-14.31958056,-170.8306889,"469","MESONET",NA,NA,NA,6470.30443050756
"22","satala","USGS",-14.27060556,-170.6939944,"5","USGS",NA,NA,NA,9426.15498314467
"23","siufaga_WRCC","WRCC",-14.276111,-170.721944,"480","WRCC",1.18788526071863,1401,0.805646462895517,6523.56919753485
"24","toa_ridge_WRCC","WRCC",-14.261131,-170.687222,"1285","WRCC",1.52856289297049,1382,0.756436388398609,10574.1757655416
"25","vaipito_res","USGS",-14.28294444,-170.7101944,"305","USGS",NA,NA,NA,7257.37190693171
"26","vaipito_UH","UH",-14.282975,-170.7106361,"302","MESONET",NA,NA,NA,7212.52875969482
"27","vaipito2000","USGS",-14.28866111,-170.70705,"460","USGS",NA,NA,NA,7342.73867233716
