"","Name","Agency","LAT","LONG","ELEV_FT","ELEV_SRC","Ratio","N","Spear","Distance"
"1","aasu_UH","UH",-14.30980833,-170.7715583,"1175","MESONET",NA,NA,NA,488.831917194403
"2","aasufou80","USGS",-14.31393611,-170.7701056,"1340","USGS",NA,NA,NA,123.749048900159
"3","aasufou90","USGS",-14.31421389,-170.7712167,"1320","USGS",NA,NA,NA,NA
"4","afono_UH","UH",-14.26737778,-170.6506194,"276","MESONET",NA,NA,NA,14005.9691258288
"5","airport5101","USGS",-14.33166667,-170.7141667,"10","USGS",NA,NA,NA,6450.45364463039
"6","airport80","USGS",-14.3369266,-170.7209097,"25","DEM",NA,NA,NA,5980.70328783707
"7","aoloafou","USGS",-14.30949167,-170.7739944,"1340","USGS",NA,NA,NA,602.318924414025
"8","aua","USGS",-14.26755,-170.6606611,"240","USGS",NA,NA,NA,12997.9835448006
"9","aunuu","USGS",-14.28532778,-170.5534389,"140","USGS",NA,NA,NA,23712.9520339736
"10","aunuu_UH","UH",-14.28516111,-170.5535361,"112","MESONET",NA,NA,NA,23705.0627433556
"11","fagaitua","USGS",-14.26727222,-170.61705,"160","USGS",NA,NA,NA,17426.0633512312
"12","GML_SMO","NOAA",-14.2474,-170.5644,"138","NOAA",NA,NA,NA,23508.3866199038
"13","iliili","USGS",-14.34180556,-170.7469444,"200","USGS",NA,NA,NA,4021.94204598921
"14","malaeimi","USGS",-14.31166667,-170.7327778,"150","USGS",NA,NA,NA,4156.59223579708
"15","malaeimi_1691","USGS",-14.31754722,-170.7392722,"140","USGS",NA,NA,NA,3466.00346542353
"16","maloata","USGS",-14.30726944,-170.8126056,"130","USGS",NA,NA,NA,4530.95706677963
"17","masefau","USGS",-14.26055556,-170.62,"730","USGS",NA,NA,NA,17362.5858353388
"18","matatula","USGS",-14.24699722,-170.5642722,"260","USGS",NA,NA,NA,23535.5399308475
"19","mt_alava","USGS",-14.26560556,-170.6889944,"1,610","USGS",NA,NA,NA,10374.4232294683
"20","pioa_afono","USGS",-14.26643889,-170.6559389,"870","USGS",NA,NA,NA,13514.7303903067
"21","poloa_UH","UH",-14.31958056,-170.8306889,"469","MESONET",NA,NA,NA,6443.5342835181
"22","satala","USGS",-14.27060556,-170.6939944,"5","USGS",NA,NA,NA,9628.16731827108
"23","siufaga_WRCC","WRCC",-14.276111,-170.721944,"480","WRCC",NA,NA,NA,6784.9424893732
"24","toa_ridge_WRCC","WRCC",-14.261131,-170.687222,"1285","WRCC",NA,NA,NA,10799.5467960081
"25","vaipito_res","USGS",-14.28294444,-170.7101944,"305","USGS",NA,NA,NA,7437.54892514983
"26","vaipito_UH","UH",-14.282975,-170.7106361,"302","MESONET",NA,NA,NA,7393.81410555174
"27","vaipito2000","USGS",-14.28866111,-170.70705,"460","USGS",NA,NA,NA,7478.08785392353
