"","Name","Agency","LAT","LONG","ELEV_FT","ELEV_SRC","Ratio","N","Spear","Distance"
"1","aasu_UH","UH",-14.30980833,-170.7715583,"1175","MESONET",0.912996379679256,1187,0.754901474543253,13867.8316623492
"2","aasufou80","USGS",-14.31393611,-170.7701056,"1340","USGS",NA,NA,NA,13883.2374954925
"3","aasufou90","USGS",-14.31421389,-170.7712167,"1320","USGS",NA,NA,NA,14005.9691258288
"4","afono_UH","UH",-14.26737778,-170.6506194,"276","MESONET",NA,NA,NA,NA
"5","airport5101","USGS",-14.33166667,-170.7141667,"10","USGS",NA,NA,NA,9879.48169110145
"6","airport80","USGS",-14.3369266,-170.7209097,"25","DEM",NA,NA,NA,10803.9873260928
"7","aoloafou","USGS",-14.30949167,-170.7739944,"1340","USGS",NA,NA,NA,14103.8377228297
"8","aua","USGS",-14.26755,-170.6606611,"240","USGS",NA,NA,NA,1083.74602319207
"9","aunuu","USGS",-14.28532778,-170.5534389,"140","USGS",NA,NA,NA,10672.544064624
"10","aunuu_UH","UH",-14.28516111,-170.5535361,"112","MESONET",NA,NA,NA,10658.8235030305
"11","fagaitua","USGS",-14.26727222,-170.61705,"160","USGS",NA,NA,NA,3622.42362702445
"12","GML_SMO","NOAA",-14.2474,-170.5644,"138","NOAA",NA,NA,NA,9563.11915349213
"13","iliili","USGS",-14.34180556,-170.7469444,"200","USGS",NA,NA,NA,13259.6066229749
"14","malaeimi","USGS",-14.31166667,-170.7327778,"150","USGS",NA,NA,NA,10128.8948575892
"15","malaeimi_1691","USGS",-14.31754722,-170.7392722,"140","USGS",NA,NA,NA,11059.225042208
"16","maloata","USGS",-14.30726944,-170.8126056,"130","USGS",NA,NA,NA,18026.7307484721
"17","masefau","USGS",-14.26055556,-170.62,"730","USGS",NA,NA,NA,3389.24777553056
"18","matatula","USGS",-14.24699722,-170.5642722,"260","USGS",NA,NA,NA,9586.92950345957
"19","mt_alava","USGS",-14.26560556,-170.6889944,"1,610","USGS",NA,NA,NA,4145.62218420256
"20","pioa_afono","USGS",-14.26643889,-170.6559389,"870","USGS",NA,NA,NA,583.341282337144
"21","poloa_UH","UH",-14.31958056,-170.8306889,"469","MESONET",1.076876646913,2127,0.644737511447911,20269.0369904371
"22","satala","USGS",-14.27060556,-170.6939944,"5","USGS",NA,NA,NA,4694.07739308376
"23","siufaga_WRCC","WRCC",-14.276111,-170.721944,"480","WRCC",1.08453494251045,2780,0.730721436097316,7756.75931339303
"24","toa_ridge_WRCC","WRCC",-14.261131,-170.687222,"1285","WRCC",1.3955723873941,2742,0.778690559824826,4009.77994845572
"25","vaipito_res","USGS",-14.28294444,-170.7101944,"305","USGS",NA,NA,NA,6655.12121883183
"26","vaipito_UH","UH",-14.282975,-170.7106361,"302","MESONET",0.916637622529849,2135,0.721187645989051,6702.03953470891
"27","vaipito2000","USGS",-14.28866111,-170.70705,"460","USGS",NA,NA,NA,6528.50703319677
