"","Name","Agency","LAT","LONG","ELEV_FT","ELEV_SRC","Ratio","N","Spear","Distance"
"1","aasu_UH","UH",-14.30980833,-170.7715583,"1175","MESONET",NA,NA,NA,6233.63566141807
"2","aasufou80","USGS",-14.31393611,-170.7701056,"1340","USGS",NA,NA,NA,5885.36962940168
"3","aasufou90","USGS",-14.31421389,-170.7712167,"1320","USGS",NA,NA,NA,5980.70328783707
"4","afono_UH","UH",-14.26737778,-170.6506194,"276","MESONET",NA,NA,NA,10803.9873260928
"5","airport5101","USGS",-14.33166667,-170.7141667,"10","USGS",NA,NA,NA,931.564563473355
"6","airport80","USGS",-14.3369266,-170.7209097,"25","DEM",NA,NA,NA,NA
"7","aoloafou","USGS",-14.30949167,-170.7739944,"1340","USGS",NA,NA,NA,6481.57388129296
"8","aua","USGS",-14.26755,-170.6606611,"240","USGS",NA,NA,NA,10058.5496601389
"9","aunuu","USGS",-14.28532778,-170.5534389,"140","USGS",NA,NA,NA,18948.4270345038
"10","aunuu_UH","UH",-14.28516111,-170.5535361,"112","MESONET",NA,NA,NA,18944.0014308952
"11","fagaitua","USGS",-14.26727222,-170.61705,"160","USGS",NA,NA,NA,13599.9255462943
"12","GML_SMO","NOAA",-14.2474,-170.5644,"138","NOAA",NA,NA,NA,19577.550160572
"13","iliili","USGS",-14.34180556,-170.7469444,"200","USGS",NA,NA,NA,2859.86554060882
"14","malaeimi","USGS",-14.31166667,-170.7327778,"150","USGS",NA,NA,NA,3074.12871470766
"15","malaeimi_1691","USGS",-14.31754722,-170.7392722,"140","USGS",NA,NA,NA,2919.17929145554
"16","maloata","USGS",-14.30726944,-170.8126056,"130","USGS",NA,NA,NA,10422.3399638299
"17","masefau","USGS",-14.26055556,-170.62,"730","USGS",NA,NA,NA,13781.742092774
"18","matatula","USGS",-14.24699722,-170.5642722,"260","USGS",NA,NA,NA,19612.0298421074
"19","mt_alava","USGS",-14.26560556,-170.6889944,"1,610","USGS",NA,NA,NA,8609.67816658964
"20","pioa_afono","USGS",-14.26643889,-170.6559389,"870","USGS",NA,NA,NA,10486.1930070381
"21","poloa_UH","UH",-14.31958056,-170.8306889,"469","MESONET",NA,NA,NA,11997.3589343457
"22","satala","USGS",-14.27060556,-170.6939944,"5","USGS",NA,NA,NA,7891.60476838278
"23","siufaga_WRCC","WRCC",-14.276111,-170.721944,"480","WRCC",NA,NA,NA,6729.6916179513
"24","toa_ridge_WRCC","WRCC",-14.261131,-170.687222,"1285","WRCC",NA,NA,NA,9139.95490501623
"25","vaipito_res","USGS",-14.28294444,-170.7101944,"305","USGS",NA,NA,NA,6083.55284273773
"26","vaipito_UH","UH",-14.282975,-170.7106361,"302","MESONET",NA,NA,NA,6071.35296249119
"27","vaipito2000","USGS",-14.28866111,-170.70705,"460","USGS",NA,NA,NA,5545.58891271442
