"","Name","Agency","LAT","LONG","ELEV_FT","ELEV_SRC","Ratio","N","Spear","Distance"
"1","aasu_UH","UH",-14.30980833,-170.7715583,"1175","MESONET",NA,NA,NA,265.150341773409
"2","aasufou80","USGS",-14.31393611,-170.7701056,"1340","USGS",NA,NA,NA,646.39997732439
"3","aasufou90","USGS",-14.31421389,-170.7712167,"1320","USGS",NA,NA,NA,602.318924414025
"4","afono_UH","UH",-14.26737778,-170.6506194,"276","MESONET",NA,NA,NA,14103.8377228297
"5","airport5101","USGS",-14.33166667,-170.7141667,"10","USGS",NA,NA,NA,6904.95807622143
"6","airport80","USGS",-14.3369266,-170.7209097,"25","DEM",NA,NA,NA,6481.57388129296
"7","aoloafou","USGS",-14.30949167,-170.7739944,"1340","USGS",NA,NA,NA,NA
"8","aua","USGS",-14.26755,-170.6606611,"240","USGS",NA,NA,NA,13079.3169308599
"9","aunuu","USGS",-14.28532778,-170.5534389,"140","USGS",NA,NA,NA,23946.2428597623
"10","aunuu_UH","UH",-14.28516111,-170.5535361,"112","MESONET",NA,NA,NA,23937.8966719014
"11","fagaitua","USGS",-14.26727222,-170.61705,"160","USGS",1.54971782286195,1951,0.660191534431963,17566.4429305487
"12","GML_SMO","NOAA",-14.2474,-170.5644,"138","NOAA",NA,NA,NA,23636.1992049382
"13","iliili","USGS",-14.34180556,-170.7469444,"200","USGS",NA,NA,NA,4615.00698549651
"14","malaeimi","USGS",-14.31166667,-170.7327778,"150","USGS",NA,NA,NA,4453.25552899371
"15","malaeimi_1691","USGS",-14.31754722,-170.7392722,"140","USGS",1.0537964250893,2072,0.755903905637422,3850.60722962249
"16","maloata","USGS",-14.30726944,-170.8126056,"130","USGS",NA,NA,NA,4172.94933628601
"17","masefau","USGS",-14.26055556,-170.62,"730","USGS",NA,NA,NA,17475.8218791728
"18","matatula","USGS",-14.24699722,-170.5642722,"260","USGS",NA,NA,NA,23662.3973149727
"19","mt_alava","USGS",-14.26560556,-170.6889944,"1,610","USGS",NA,NA,NA,10377.429817379
"20","pioa_afono","USGS",-14.26643889,-170.6559389,"870","USGS",NA,NA,NA,13599.4903812453
"21","poloa_UH","UH",-14.31958056,-170.8306889,"469","MESONET",NA,NA,NA,6217.53438155348
"22","satala","USGS",-14.27060556,-170.6939944,"5","USGS",1.19043480555202,1953,0.736960522853345,9644.60411970266
"23","siufaga_WRCC","WRCC",-14.276111,-170.721944,"480","WRCC",NA,NA,NA,6721.61948335069
"24","toa_ridge_WRCC","WRCC",-14.261131,-170.687222,"1285","WRCC",NA,NA,NA,10783.7881923317
"25","vaipito_res","USGS",-14.28294444,-170.7101944,"305","USGS",1.1207964958362,1882,0.749886600105536,7484.11568482744
"26","vaipito_UH","UH",-14.282975,-170.7106361,"302","MESONET",NA,NA,NA,7438.97136160945
"27","vaipito2000","USGS",-14.28866111,-170.70705,"460","USGS",NA,NA,NA,7581.61783151612
