"","Name","Agency","LAT","LONG","ELEV_FT","ELEV_SRC","Ratio","N","Spear","Distance"
"1","aasu_UH","UH",-14.30980833,-170.7715583,"1175","MESONET",NA,NA,NA,17322.6723317911
"2","aasufou80","USGS",-14.31393611,-170.7701056,"1340","USGS",NA,NA,NA,17302.4784329509
"3","aasufou90","USGS",-14.31421389,-170.7712167,"1320","USGS",NA,NA,NA,17426.0633512312
"4","afono_UH","UH",-14.26737778,-170.6506194,"276","MESONET",NA,NA,NA,3622.42362702445
"5","airport5101","USGS",-14.33166667,-170.7141667,"10","USGS",0.998081258966598,1274,0.705167337012738,12670.9897624491
"6","airport80","USGS",-14.3369266,-170.7209097,"25","DEM",NA,NA,NA,13599.9255462943
"7","aoloafou","USGS",-14.30949167,-170.7739944,"1340","USGS",0.645278763170734,1951,0.660191534431963,17566.4429305487
"8","aua","USGS",-14.26755,-170.6606611,"240","USGS",NA,NA,NA,4706.08252797573
"9","aunuu","USGS",-14.28532778,-170.5534389,"140","USGS",NA,NA,NA,7148.67332036567
"10","aunuu_UH","UH",-14.28516111,-170.5535361,"112","MESONET",NA,NA,NA,7133.46739860165
"11","fagaitua","USGS",-14.26727222,-170.61705,"160","USGS",NA,NA,NA,NA
"12","GML_SMO","NOAA",-14.2474,-170.5644,"138","NOAA",NA,NA,NA,6092.19795539593
"13","iliili","USGS",-14.34180556,-170.7469444,"200","USGS",NA,NA,NA,16260.5867588003
"14","malaeimi","USGS",-14.31166667,-170.7327778,"150","USGS",NA,NA,NA,13418.0852871028
"15","malaeimi_1691","USGS",-14.31754722,-170.7392722,"140","USGS",0.679992453815366,3305,0.643744368964786,14312.4481454815
"16","maloata","USGS",-14.30726944,-170.8126056,"130","USGS",NA,NA,NA,21559.2194570392
"17","masefau","USGS",-14.26055556,-170.62,"730","USGS",NA,NA,NA,808.453607584931
"18","matatula","USGS",-14.24699722,-170.5642722,"260","USGS",NA,NA,NA,6121.25711070276
"19","mt_alava","USGS",-14.26560556,-170.6889944,"1,610","USGS",NA,NA,NA,7765.59202796599
"20","pioa_afono","USGS",-14.26643889,-170.6559389,"870","USGS",NA,NA,NA,4197.44253941836
"21","poloa_UH","UH",-14.31958056,-170.8306889,"469","MESONET",NA,NA,NA,23766.1269987098
"22","satala","USGS",-14.27060556,-170.6939944,"5","USGS",0.768162298961999,3218,0.72284845047292,8311.0395835443
"23","siufaga_WRCC","WRCC",-14.276111,-170.721944,"480","WRCC",NA,NA,NA,11360.8459323415
"24","toa_ridge_WRCC","WRCC",-14.261131,-170.687222,"1285","WRCC",NA,NA,NA,7602.64464904929
"25","vaipito_res","USGS",-14.28294444,-170.7101944,"305","USGS",0.723226176599273,2959,0.698320264350684,10199.158615085
"26","vaipito_UH","UH",-14.282975,-170.7106361,"302","MESONET",NA,NA,NA,10246.7013366607
"27","vaipito2000","USGS",-14.28866111,-170.70705,"460","USGS",NA,NA,NA,9995.44365376954
