"","Name","Agency","LAT","LONG","ELEV_FT","ELEV_SRC","Ratio","N","Spear","Distance"
"1","aasu_UH","UH",-14.30980833,-170.7715583,"1175","MESONET",NA,NA,NA,4425.4067208409
"2","aasufou80","USGS",-14.31393611,-170.7701056,"1340","USGS",NA,NA,NA,3968.78643884371
"3","aasufou90","USGS",-14.31421389,-170.7712167,"1320","USGS",NA,NA,NA,4021.94204598921
"4","afono_UH","UH",-14.26737778,-170.6506194,"276","MESONET",NA,NA,NA,13259.6066229749
"5","airport5101","USGS",-14.33166667,-170.7141667,"10","USGS",NA,NA,NA,3709.57199649428
"6","airport80","USGS",-14.3369266,-170.7209097,"25","DEM",NA,NA,NA,2859.86554060882
"7","aoloafou","USGS",-14.30949167,-170.7739944,"1340","USGS",NA,NA,NA,4615.00698549651
"8","aua","USGS",-14.26755,-170.6606611,"240","USGS",NA,NA,NA,12416.0729464334
"9","aunuu","USGS",-14.28532778,-170.5534389,"140","USGS",NA,NA,NA,21791.6637231932
"10","aunuu_UH","UH",-14.28516111,-170.5535361,"112","MESONET",NA,NA,NA,21786.9226951909
"11","fagaitua","USGS",-14.26727222,-170.61705,"160","USGS",NA,NA,NA,16260.5867588003
"12","GML_SMO","NOAA",-14.2474,-170.5644,"138","NOAA",NA,NA,NA,22293.9425545633
"13","iliili","USGS",-14.34180556,-170.7469444,"200","USGS",NA,NA,NA,NA
"14","malaeimi","USGS",-14.31166667,-170.7327778,"150","USGS",NA,NA,NA,3668.16843652988
"15","malaeimi_1691","USGS",-14.31754722,-170.7392722,"140","USGS",NA,NA,NA,2808.71462392213
"16","maloata","USGS",-14.30726944,-170.8126056,"130","USGS",NA,NA,NA,8048.49285791445
"17","masefau","USGS",-14.26055556,-170.62,"730","USGS",NA,NA,NA,16382.9681446521
"18","matatula","USGS",-14.24699722,-170.5642722,"260","USGS",NA,NA,NA,22327.0435058829
"19","mt_alava","USGS",-14.26560556,-170.6889944,"1,610","USGS",NA,NA,NA,10496.250904091
"20","pioa_afono","USGS",-14.26643889,-170.6559389,"870","USGS",NA,NA,NA,12881.7559256663
"21","poloa_UH","UH",-14.31958056,-170.8306889,"469","MESONET",NA,NA,NA,9362.84959594506
"22","satala","USGS",-14.27060556,-170.6939944,"5","USGS",NA,NA,NA,9731.07834056477
"23","siufaga_WRCC","WRCC",-14.276111,-170.721944,"480","WRCC",NA,NA,NA,7752.90137848817
"24","toa_ridge_WRCC","WRCC",-14.261131,-170.687222,"1285","WRCC",NA,NA,NA,11008.7599895676
"25","vaipito_res","USGS",-14.28294444,-170.7101944,"305","USGS",NA,NA,NA,7624.48666214269
"26","vaipito_UH","UH",-14.282975,-170.7106361,"302","MESONET",NA,NA,NA,7596.91787295043
"27","vaipito2000","USGS",-14.28866111,-170.70705,"460","USGS",NA,NA,NA,7286.91497462022
