"","Name","Agency","LAT","LONG","ELEV_FT","ELEV_SRC","Ratio","N","Spear","Distance"
"1","aasu_UH","UH",-14.30980833,-170.7715583,"1175","MESONET",NA,NA,NA,3586.91150495629
"2","aasufou80","USGS",-14.31393611,-170.7701056,"1340","USGS",0.871294651400695,3183,0.796506377106026,3350.36558722217
"3","aasufou90","USGS",-14.31421389,-170.7712167,"1320","USGS",NA,NA,NA,3466.00346542353
"4","afono_UH","UH",-14.26737778,-170.6506194,"276","MESONET",NA,NA,NA,11059.225042208
"5","airport5101","USGS",-14.33166667,-170.7141667,"10","USGS",1.46778284577493,1417,0.770276669452274,3126.64496912553
"6","airport80","USGS",-14.3369266,-170.7209097,"25","DEM",NA,NA,NA,2919.17929145554
"7","aoloafou","USGS",-14.30949167,-170.7739944,"1340","USGS",0.948949888414412,2072,0.755903905637422,3850.60722962249
"8","aua","USGS",-14.26755,-170.6606611,"240","USGS",NA,NA,NA,10126.299291207
"9","aunuu","USGS",-14.28532778,-170.5534389,"140","USGS",NA,NA,NA,20364.3109401017
"10","aunuu_UH","UH",-14.28516111,-170.5535361,"112","MESONET",NA,NA,NA,20357.2309706047
"11","fagaitua","USGS",-14.26727222,-170.61705,"160","USGS",1.47060455507867,3305,0.643744368964786,14312.4481454815
"12","GML_SMO","NOAA",-14.2474,-170.5644,"138","NOAA",NA,NA,NA,20402.6838578824
"13","iliili","USGS",-14.34180556,-170.7469444,"200","USGS",NA,NA,NA,2808.71462392213
"14","malaeimi","USGS",-14.31166667,-170.7327778,"150","USGS",NA,NA,NA,956.159058459012
"15","malaeimi_1691","USGS",-14.31754722,-170.7392722,"140","USGS",NA,NA,NA,NA
"16","maloata","USGS",-14.30726944,-170.8126056,"130","USGS",NA,NA,NA,7992.98491627331
"17","masefau","USGS",-14.26055556,-170.62,"730","USGS",NA,NA,NA,14330.99127221
"18","matatula","USGS",-14.24699722,-170.5642722,"260","USGS",NA,NA,NA,20432.4363473315
"19","mt_alava","USGS",-14.26560556,-170.6889944,"1,610","USGS",NA,NA,NA,7902.88273395881
"20","pioa_afono","USGS",-14.26643889,-170.6559389,"870","USGS",1.15401770732645,1272,0.751913756374446,10621.6863986716
"21","poloa_UH","UH",-14.31958056,-170.8306889,"469","MESONET",NA,NA,NA,9864.92025184284
"22","satala","USGS",-14.27060556,-170.6939944,"5","USGS",1.12966297589322,3299,0.683225669693857,7130.24910564567
"23","siufaga_WRCC","WRCC",-14.276111,-170.721944,"480","WRCC",NA,NA,NA,4951.14821110684
"24","toa_ridge_WRCC","WRCC",-14.261131,-170.687222,"1285","WRCC",NA,NA,NA,8396.60469931014
"25","vaipito_res","USGS",-14.28294444,-170.7101944,"305","USGS",1.06357970965902,3637,0.704132431633887,4949.75195742187
"26","vaipito_UH","UH",-14.282975,-170.7106361,"302","MESONET",NA,NA,NA,4917.05359791806
"27","vaipito2000","USGS",-14.28866111,-170.70705,"460","USGS",NA,NA,NA,4722.33683910584
