"","Name","Agency","LAT","LONG","ELEV_FT","ELEV_SRC","Ratio","N","Spear","Distance"
"1","aasu_UH","UH",-14.30980833,-170.7715583,"1175","MESONET",NA,NA,NA,13366.1385414018
"2","aasufou80","USGS",-14.31393611,-170.7701056,"1340","USGS",0.755009776599749,5049,0.831337410323447,13392.3952617956
"3","aasufou90","USGS",-14.31421389,-170.7712167,"1320","USGS",NA,NA,NA,13514.7303903067
"4","afono_UH","UH",-14.26737778,-170.6506194,"276","MESONET",NA,NA,NA,583.341282337144
"5","airport5101","USGS",-14.33166667,-170.7141667,"10","USGS",NA,NA,NA,9568.29200017889
"6","airport80","USGS",-14.3369266,-170.7209097,"25","DEM",NA,NA,NA,10486.1930070381
"7","aoloafou","USGS",-14.30949167,-170.7739944,"1340","USGS",NA,NA,NA,13599.4903812453
"8","aua","USGS",-14.26755,-170.6606611,"240","USGS",NA,NA,NA,524.183298833495
"9","aunuu","USGS",-14.28532778,-170.5534389,"140","USGS",NA,NA,NA,11255.8659941559
"10","aunuu_UH","UH",-14.28516111,-170.5535361,"112","MESONET",NA,NA,NA,11242.1518161436
"11","fagaitua","USGS",-14.26727222,-170.61705,"160","USGS",NA,NA,NA,4197.44253941836
"12","GML_SMO","NOAA",-14.2474,-170.5644,"138","NOAA",NA,NA,NA,10100.3311658165
"13","iliili","USGS",-14.34180556,-170.7469444,"200","USGS",NA,NA,NA,12881.7559256663
"14","malaeimi","USGS",-14.31166667,-170.7327778,"150","USGS",NA,NA,NA,9683.86032971165
"15","malaeimi_1691","USGS",-14.31754722,-170.7392722,"140","USGS",0.866537830096849,1272,0.751913756374446,10621.6863986716
"16","maloata","USGS",-14.30726944,-170.8126056,"130","USGS",NA,NA,NA,17497.3661786071
"17","masefau","USGS",-14.26055556,-170.62,"730","USGS",NA,NA,NA,3932.40835891251
"18","matatula","USGS",-14.24699722,-170.5642722,"260","USGS",NA,NA,NA,10123.2037665777
"19","mt_alava","USGS",-14.26560556,-170.6889944,"1,610","USGS",NA,NA,NA,3568.16283548323
"20","pioa_afono","USGS",-14.26643889,-170.6559389,"870","USGS",NA,NA,NA,NA
"21","poloa_UH","UH",-14.31958056,-170.8306889,"469","MESONET",NA,NA,NA,19750.2746430581
"22","satala","USGS",-14.27060556,-170.6939944,"5","USGS",NA,NA,NA,4132.26513038327
"23","siufaga_WRCC","WRCC",-14.276111,-170.721944,"480","WRCC",NA,NA,NA,7202.29627162642
"24","toa_ridge_WRCC","WRCC",-14.261131,-170.687222,"1285","WRCC",NA,NA,NA,3426.45041969151
"25","vaipito_res","USGS",-14.28294444,-170.7101944,"305","USGS",NA,NA,NA,6132.62792127246
"26","vaipito_UH","UH",-14.282975,-170.7106361,"302","MESONET",NA,NA,NA,6179.14327821543
"27","vaipito2000","USGS",-14.28866111,-170.70705,"460","USGS",1.56676628256769,3600,0.838423532522169,6038.29110770465
