"","Name","Agency","LAT","LONG","ELEV_FT","ELEV_SRC","Ratio","N","Spear","Distance"
"1","aasu_UH","UH",-14.30980833,-170.7715583,"1175","MESONET",NA,NA,NA,6470.30443050756
"2","aasufou80","USGS",-14.31393611,-170.7701056,"1340","USGS",NA,NA,NA,6565.7598138387
"3","aasufou90","USGS",-14.31421389,-170.7712167,"1320","USGS",NA,NA,NA,6443.5342835181
"4","afono_UH","UH",-14.26737778,-170.6506194,"276","MESONET",0.928611464336816,2127,0.644737511447911,20269.0369904371
"5","airport5101","USGS",-14.33166667,-170.7141667,"10","USGS",NA,NA,NA,12641.358103832
"6","airport80","USGS",-14.3369266,-170.7209097,"25","DEM",NA,NA,NA,11997.3589343457
"7","aoloafou","USGS",-14.30949167,-170.7739944,"1340","USGS",NA,NA,NA,6217.53438155348
"8","aua","USGS",-14.26755,-170.6606611,"240","USGS",NA,NA,NA,19227.2608020222
"9","aunuu","USGS",-14.28532778,-170.5534389,"140","USGS",NA,NA,NA,30151.9514133047
"10","aunuu_UH","UH",-14.28516111,-170.5535361,"112","MESONET",NA,NA,NA,30143.8826722259
"11","fagaitua","USGS",-14.26727222,-170.61705,"160","USGS",NA,NA,NA,23766.1269987098
"12","GML_SMO","NOAA",-14.2474,-170.5644,"138","NOAA",NA,NA,NA,29821.862798172
"13","iliili","USGS",-14.34180556,-170.7469444,"200","USGS",NA,NA,NA,9362.84959594506
"14","malaeimi","USGS",-14.31166667,-170.7327778,"150","USGS",NA,NA,NA,10599.3596230527
"15","malaeimi_1691","USGS",-14.31754722,-170.7392722,"140","USGS",NA,NA,NA,9864.92025184284
"16","maloata","USGS",-14.30726944,-170.8126056,"130","USGS",NA,NA,NA,2379.39913992756
"17","masefau","USGS",-14.26055556,-170.62,"730","USGS",NA,NA,NA,23652.1856370068
"18","matatula","USGS",-14.24699722,-170.5642722,"260","USGS",NA,NA,NA,29847.1333241515
"19","mt_alava","USGS",-14.26560556,-170.6889944,"1,610","USGS",NA,NA,NA,16413.2370959824
"20","pioa_afono","USGS",-14.26643889,-170.6559389,"870","USGS",NA,NA,NA,19750.2746430581
"21","poloa_UH","UH",-14.31958056,-170.8306889,"469","MESONET",NA,NA,NA,NA
"22","satala","USGS",-14.27060556,-170.6939944,"5","USGS",NA,NA,NA,15712.5367616777
"23","siufaga_WRCC","WRCC",-14.276111,-170.721944,"480","WRCC",1.00711158108908,2254,0.728961271533314,12680.3704052269
"24","toa_ridge_WRCC","WRCC",-14.261131,-170.687222,"1285","WRCC",1.29594451824606,2216,0.717640576159326,16776.2062495231
"25","vaipito_res","USGS",-14.28294444,-170.7101944,"305","USGS",NA,NA,NA,13617.6468546829
"26","vaipito_UH","UH",-14.282975,-170.7106361,"302","MESONET",0.85120020492366,2241,0.675173000253763,13571.1483992846
"27","vaipito2000","USGS",-14.28866111,-170.70705,"460","USGS",NA,NA,NA,13771.1342589279
