"","Name","Agency","LAT","LONG","ELEV_FT","ELEV_SRC","Ratio","N","Spear","Distance"
"1","aasu_UH","UH",-14.30980833,-170.7715583,"1175","MESONET",NA,NA,NA,9426.15498314467
"2","aasufou80","USGS",-14.31393611,-170.7701056,"1340","USGS",NA,NA,NA,9509.08498890809
"3","aasufou90","USGS",-14.31421389,-170.7712167,"1320","USGS",NA,NA,NA,9628.16731827108
"4","afono_UH","UH",-14.26737778,-170.6506194,"276","MESONET",NA,NA,NA,4694.07739308376
"5","airport5101","USGS",-14.33166667,-170.7141667,"10","USGS",1.2993103935396,1353,0.74852159257365,7097.84346122009
"6","airport80","USGS",-14.3369266,-170.7209097,"25","DEM",NA,NA,NA,7891.60476838278
"7","aoloafou","USGS",-14.30949167,-170.7739944,"1340","USGS",0.840029202217662,1953,0.736960522853345,9644.60411970266
"8","aua","USGS",-14.26755,-170.6606611,"240","USGS",NA,NA,NA,3612.75270839507
"9","aunuu","USGS",-14.28532778,-170.5534389,"140","USGS",NA,NA,NA,15253.5643980837
"10","aunuu_UH","UH",-14.28516111,-170.5535361,"112","MESONET",NA,NA,NA,15241.1822398869
"11","fagaitua","USGS",-14.26727222,-170.61705,"160","USGS",1.30180822640121,3218,0.72284845047292,8311.0395835443
"12","GML_SMO","NOAA",-14.2474,-170.5644,"138","NOAA",NA,NA,NA,14218.5115182082
"13","iliili","USGS",-14.34180556,-170.7469444,"200","USGS",NA,NA,NA,9731.07834056477
"14","malaeimi","USGS",-14.31166667,-170.7327778,"150","USGS",NA,NA,NA,6176.60465829559
"15","malaeimi_1691","USGS",-14.31754722,-170.7392722,"140","USGS",0.885219770267591,3299,0.683225669693857,7130.24910564567
"16","maloata","USGS",-14.30726944,-170.8126056,"130","USGS",NA,NA,NA,13425.3921594165
"17","masefau","USGS",-14.26055556,-170.62,"730","USGS",NA,NA,NA,8061.69844185521
"18","matatula","USGS",-14.24699722,-170.5642722,"260","USGS",NA,NA,NA,14240.195334408
"19","mt_alava","USGS",-14.26560556,-170.6889944,"1,610","USGS",NA,NA,NA,772.749008793909
"20","pioa_afono","USGS",-14.26643889,-170.6559389,"870","USGS",NA,NA,NA,4132.26513038327
"21","poloa_UH","UH",-14.31958056,-170.8306889,"469","MESONET",NA,NA,NA,15712.5367616777
"22","satala","USGS",-14.27060556,-170.6939944,"5","USGS",NA,NA,NA,NA
"23","siufaga_WRCC","WRCC",-14.276111,-170.721944,"480","WRCC",NA,NA,NA,3076.80279259154
"24","toa_ridge_WRCC","WRCC",-14.261131,-170.687222,"1285","WRCC",NA,NA,NA,1277.87475323142
"25","vaipito_res","USGS",-14.28294444,-170.7101944,"305","USGS",0.941501786245632,2934,0.830237881301197,2217.96978603703
"26","vaipito_UH","UH",-14.282975,-170.7106361,"302","MESONET",NA,NA,NA,2257.77117341444
"27","vaipito2000","USGS",-14.28866111,-170.70705,"460","USGS",NA,NA,NA,2444.4455370115
