"","Name","Agency","LAT","LONG","ELEV_FT","ELEV_SRC","Ratio","N","Spear","Distance"
"1","aasu_UH","UH",-14.30980833,-170.7715583,"1175","MESONET",0.841832147487913,1401,0.805646462895517,6523.56919753485
"2","aasufou80","USGS",-14.31393611,-170.7701056,"1340","USGS",NA,NA,NA,6672.10693721446
"3","aasufou90","USGS",-14.31421389,-170.7712167,"1320","USGS",NA,NA,NA,6784.9424893732
"4","afono_UH","UH",-14.26737778,-170.6506194,"276","MESONET",0.922054201117047,2780,0.730721436097316,7756.75931339303
"5","airport5101","USGS",-14.33166667,-170.7141667,"10","USGS",NA,NA,NA,6203.80331322611
"6","airport80","USGS",-14.3369266,-170.7209097,"25","DEM",NA,NA,NA,6729.6916179513
"7","aoloafou","USGS",-14.30949167,-170.7739944,"1340","USGS",NA,NA,NA,6721.61948335069
"8","aua","USGS",-14.26755,-170.6606611,"240","USGS",NA,NA,NA,6680.27365282688
"9","aunuu","USGS",-14.28532778,-170.5534389,"140","USGS",NA,NA,NA,18210.5381395081
"10","aunuu_UH","UH",-14.28516111,-170.5535361,"112","MESONET",NA,NA,NA,18199.0493203142
"11","fagaitua","USGS",-14.26727222,-170.61705,"160","USGS",NA,NA,NA,11360.8459323415
"12","GML_SMO","NOAA",-14.2474,-170.5644,"138","NOAA",NA,NA,NA,17294.9017950363
"13","iliili","USGS",-14.34180556,-170.7469444,"200","USGS",NA,NA,NA,7752.90137848817
"14","malaeimi","USGS",-14.31166667,-170.7327778,"150","USGS",NA,NA,NA,4103.94064414945
"15","malaeimi_1691","USGS",-14.31754722,-170.7392722,"140","USGS",NA,NA,NA,4951.14821110684
"16","maloata","USGS",-14.30726944,-170.8126056,"130","USGS",NA,NA,NA,10371.7580857288
"17","masefau","USGS",-14.26055556,-170.62,"730","USGS",NA,NA,NA,11134.3395224241
"18","matatula","USGS",-14.24699722,-170.5642722,"260","USGS",NA,NA,NA,17316.7074768365
"19","mt_alava","USGS",-14.26560556,-170.6889944,"1,610","USGS",NA,NA,NA,3740.64013482125
"20","pioa_afono","USGS",-14.26643889,-170.6559389,"870","USGS",NA,NA,NA,7202.29627162642
"21","poloa_UH","UH",-14.31958056,-170.8306889,"469","MESONET",0.99293863637097,2254,0.728961271533314,12680.3704052269
"22","satala","USGS",-14.27060556,-170.6939944,"5","USGS",NA,NA,NA,3076.80279259154
"23","siufaga_WRCC","WRCC",-14.276111,-170.721944,"480","WRCC",NA,NA,NA,NA
"24","toa_ridge_WRCC","WRCC",-14.261131,-170.687222,"1285","WRCC",1.28679338275968,4383,0.830628513777261,4096.97640545289
"25","vaipito_res","USGS",-14.28294444,-170.7101944,"305","USGS",NA,NA,NA,1476.13272061462
"26","vaipito_UH","UH",-14.282975,-170.7106361,"302","MESONET",0.84518957075559,2241,0.839954999408317,1437.18999984045
"27","vaipito2000","USGS",-14.28866111,-170.70705,"460","USGS",NA,NA,NA,2123.8662083313
