"","Name","Agency","LAT","LONG","ELEV_FT","ELEV_SRC","Ratio","N","Spear","Distance"
"1","aasu_UH","UH",-14.30980833,-170.7715583,"1175","MESONET",0.654209260606007,1382,0.756436388398609,10574.1757655416
"2","aasufou80","USGS",-14.31393611,-170.7701056,"1340","USGS",NA,NA,NA,10682.3026750553
"3","aasufou90","USGS",-14.31421389,-170.7712167,"1320","USGS",NA,NA,NA,10799.5467960081
"4","afono_UH","UH",-14.26737778,-170.6506194,"276","MESONET",0.716551867199995,2742,0.778690559824826,4009.77994845572
"5","airport5101","USGS",-14.33166667,-170.7141667,"10","USGS",NA,NA,NA,8328.10506505415
"6","airport80","USGS",-14.3369266,-170.7209097,"25","DEM",NA,NA,NA,9139.95490501623
"7","aoloafou","USGS",-14.30949167,-170.7739944,"1340","USGS",NA,NA,NA,10783.7881923317
"8","aua","USGS",-14.26755,-170.6606611,"240","USGS",NA,NA,NA,2952.85048465892
"9","aunuu","USGS",-14.28532778,-170.5534389,"140","USGS",NA,NA,NA,14682.0287683634
"10","aunuu_UH","UH",-14.28516111,-170.5535361,"112","MESONET",NA,NA,NA,14668.3678711159
"11","fagaitua","USGS",-14.26727222,-170.61705,"160","USGS",NA,NA,NA,7602.64464904929
"12","GML_SMO","NOAA",-14.2474,-170.5644,"138","NOAA",NA,NA,NA,13341.0153710743
"13","iliili","USGS",-14.34180556,-170.7469444,"200","USGS",NA,NA,NA,11008.7599895676
"14","malaeimi","USGS",-14.31166667,-170.7327778,"150","USGS",NA,NA,NA,7444.77591026328
"15","malaeimi_1691","USGS",-14.31754722,-170.7392722,"140","USGS",NA,NA,NA,8396.60469931014
"16","maloata","USGS",-14.30726944,-170.8126056,"130","USGS",NA,NA,NA,14459.9438764499
"17","masefau","USGS",-14.26055556,-170.62,"730","USGS",NA,NA,NA,7254.27422816689
"18","matatula","USGS",-14.24699722,-170.5642722,"260","USGS",NA,NA,NA,13359.8718150723
"19","mt_alava","USGS",-14.26560556,-170.6889944,"1,610","USGS",NA,NA,NA,530.73288540704
"20","pioa_afono","USGS",-14.26643889,-170.6559389,"870","USGS",NA,NA,NA,3426.45041969151
"21","poloa_UH","UH",-14.31958056,-170.8306889,"469","MESONET",0.771637972089579,2216,0.717640576159326,16776.2062495231
"22","satala","USGS",-14.27060556,-170.6939944,"5","USGS",NA,NA,NA,1277.87475323142
"23","siufaga_WRCC","WRCC",-14.276111,-170.721944,"480","WRCC",0.777125538099506,4383,0.830628513777261,4096.97640545289
"24","toa_ridge_WRCC","WRCC",-14.261131,-170.687222,"1285","WRCC",NA,NA,NA,NA
"25","vaipito_res","USGS",-14.28294444,-170.7101944,"305","USGS",NA,NA,NA,3459.70918880674
"26","vaipito_UH","UH",-14.282975,-170.7106361,"302","MESONET",0.656818399969528,2203,0.765147234235693,3496.35306907825
"27","vaipito2000","USGS",-14.28866111,-170.70705,"460","USGS",NA,NA,NA,3722.30831293828
