"","Name","Agency","LAT","LONG","ELEV_FT","ELEV_SRC","Ratio","N","Spear","Distance"
"1","aasu_UH","UH",-14.30980833,-170.7715583,"1175","MESONET",NA,NA,NA,7342.73867233716
"2","aasufou80","USGS",-14.31393611,-170.7701056,"1340","USGS",0.481890493177071,3705,0.770610936446116,7355.51060618508
"3","aasufou90","USGS",-14.31421389,-170.7712167,"1320","USGS",NA,NA,NA,7478.08785392353
"4","afono_UH","UH",-14.26737778,-170.6506194,"276","MESONET",NA,NA,NA,6528.50703319677
"5","airport5101","USGS",-14.33166667,-170.7141667,"10","USGS",NA,NA,NA,4819.77693184212
"6","airport80","USGS",-14.3369266,-170.7209097,"25","DEM",NA,NA,NA,5545.58891271442
"7","aoloafou","USGS",-14.30949167,-170.7739944,"1340","USGS",NA,NA,NA,7581.61783151612
"8","aua","USGS",-14.26755,-170.6606611,"240","USGS",NA,NA,NA,5523.65704015409
"9","aunuu","USGS",-14.28532778,-170.5534389,"140","USGS",NA,NA,NA,16578.5209143452
"10","aunuu_UH","UH",-14.28516111,-170.5535361,"112","MESONET",NA,NA,NA,16568.4626138783
"11","fagaitua","USGS",-14.26727222,-170.61705,"160","USGS",NA,NA,NA,9995.44365376954
"12","GML_SMO","NOAA",-14.2474,-170.5644,"138","NOAA",NA,NA,NA,16055.7186939143
"13","iliili","USGS",-14.34180556,-170.7469444,"200","USGS",NA,NA,NA,7286.91497462022
"14","malaeimi","USGS",-14.31166667,-170.7327778,"150","USGS",NA,NA,NA,3766.19317800094
"15","malaeimi_1691","USGS",-14.31754722,-170.7392722,"140","USGS",NA,NA,NA,4722.33683910584
"16","maloata","USGS",-14.30726944,-170.8126056,"130","USGS",NA,NA,NA,11573.3514102209
"17","masefau","USGS",-14.26055556,-170.62,"730","USGS",NA,NA,NA,9894.44026845134
"18","matatula","USGS",-14.24699722,-170.5642722,"260","USGS",NA,NA,NA,16081.6711571044
"19","mt_alava","USGS",-14.26560556,-170.6889944,"1,610","USGS",NA,NA,NA,3209.80438187939
"20","pioa_afono","USGS",-14.26643889,-170.6559389,"870","USGS",0.638257288994727,3600,0.838423532522169,6038.29110770465
"21","poloa_UH","UH",-14.31958056,-170.8306889,"469","MESONET",NA,NA,NA,13771.1342589279
"22","satala","USGS",-14.27060556,-170.6939944,"5","USGS",NA,NA,NA,2444.4455370115
"23","siufaga_WRCC","WRCC",-14.276111,-170.721944,"480","WRCC",NA,NA,NA,2123.8662083313
"24","toa_ridge_WRCC","WRCC",-14.261131,-170.687222,"1285","WRCC",NA,NA,NA,3722.30831293828
"25","vaipito_res","USGS",-14.28294444,-170.7101944,"305","USGS",NA,NA,NA,717.753490587744
"26","vaipito_UH","UH",-14.282975,-170.7106361,"302","MESONET",NA,NA,NA,738.589838713822
"27","vaipito2000","USGS",-14.28866111,-170.70705,"460","USGS",NA,NA,NA,NA
