"","Name","Agency","LAT","LONG","ELEV_FT","ELEV_SRC","Ratio","N","Spear","Distance"
"1","aasu_UH","UH",-14.30980833,-170.7715583,"1175","MESONET",NA,NA,NA,7212.52875969482
"2","aasufou80","USGS",-14.31393611,-170.7701056,"1340","USGS",NA,NA,NA,7273.53238580231
"3","aasufou90","USGS",-14.31421389,-170.7712167,"1320","USGS",NA,NA,NA,7393.81410555174
"4","afono_UH","UH",-14.26737778,-170.6506194,"276","MESONET",1.09094365692745,2135,0.721187645989051,6702.03953470891
"5","airport5101","USGS",-14.33166667,-170.7141667,"10","USGS",NA,NA,NA,5400.79894520178
"6","airport80","USGS",-14.3369266,-170.7209097,"25","DEM",NA,NA,NA,6071.35296249119
"7","aoloafou","USGS",-14.30949167,-170.7739944,"1340","USGS",NA,NA,NA,7438.97136160945
"8","aua","USGS",-14.26755,-170.6606611,"240","USGS",NA,NA,NA,5656.13148669434
"9","aunuu","USGS",-14.28532778,-170.5534389,"140","USGS",NA,NA,NA,16963.5636540805
"10","aunuu_UH","UH",-14.28516111,-170.5535361,"112","MESONET",NA,NA,NA,16952.810123432
"11","fagaitua","USGS",-14.26727222,-170.61705,"160","USGS",NA,NA,NA,10246.7013366607
"12","GML_SMO","NOAA",-14.2474,-170.5644,"138","NOAA",NA,NA,NA,16263.6694569279
"13","iliili","USGS",-14.34180556,-170.7469444,"200","USGS",NA,NA,NA,7596.91787295043
"14","malaeimi","USGS",-14.31166667,-170.7327778,"150","USGS",NA,NA,NA,3972.97812032496
"15","malaeimi_1691","USGS",-14.31754722,-170.7392722,"140","USGS",NA,NA,NA,4917.05359791806
"16","maloata","USGS",-14.30726944,-170.8126056,"130","USGS",NA,NA,NA,11325.571617234
"17","masefau","USGS",-14.26055556,-170.62,"730","USGS",NA,NA,NA,10089.8268152386
"18","matatula","USGS",-14.24699722,-170.5642722,"260","USGS",NA,NA,NA,16287.898001435
"19","mt_alava","USGS",-14.26560556,-170.6889944,"1,610","USGS",NA,NA,NA,3024.33565616806
"20","pioa_afono","USGS",-14.26643889,-170.6559389,"870","USGS",NA,NA,NA,6179.14327821543
"21","poloa_UH","UH",-14.31958056,-170.8306889,"469","MESONET",1.17481174724304,2241,0.675173000253763,13571.1483992846
"22","satala","USGS",-14.27060556,-170.6939944,"5","USGS",NA,NA,NA,2257.77117341444
"23","siufaga_WRCC","WRCC",-14.276111,-170.721944,"480","WRCC",1.18316651624796,2241,0.839954999408317,1437.18999984045
"24","toa_ridge_WRCC","WRCC",-14.261131,-170.687222,"1285","WRCC",1.5224908438107,2203,0.765147234235693,3496.35306907825
"25","vaipito_res","USGS",-14.28294444,-170.7101944,"305","USGS",NA,NA,NA,47.7794385594512
"26","vaipito_UH","UH",-14.282975,-170.7106361,"302","MESONET",NA,NA,NA,NA
"27","vaipito2000","USGS",-14.28866111,-170.70705,"460","USGS",NA,NA,NA,738.589838713822
