"","Name","Agency","LAT","LONG","ELEV_FT","ELEV_SRC","Ratio","N","Spear","Distance"
"1","aasu_UH","UH",-14.30980833,-170.7715583,"1175","MESONET",NA,NA,NA,7257.37190693171
"2","aasufou80","USGS",-14.31393611,-170.7701056,"1340","USGS",0.819209546297218,1766,0.760387242781871,7317.19119438576
"3","aasufou90","USGS",-14.31421389,-170.7712167,"1320","USGS",NA,NA,NA,7437.54892514983
"4","afono_UH","UH",-14.26737778,-170.6506194,"276","MESONET",NA,NA,NA,6655.12121883183
"5","airport5101","USGS",-14.33166667,-170.7141667,"10","USGS",1.3800402851287,1358,0.726796101368868,5407.73960568448
"6","airport80","USGS",-14.3369266,-170.7209097,"25","DEM",NA,NA,NA,6083.55284273773
"7","aoloafou","USGS",-14.30949167,-170.7739944,"1340","USGS",0.89222263248952,1882,0.749886600105536,7484.11568482744
"8","aua","USGS",-14.26755,-170.6606611,"240","USGS",NA,NA,NA,5609.68282558846
"9","aunuu","USGS",-14.28532778,-170.5534389,"140","USGS",NA,NA,NA,16915.9633983379
"10","aunuu_UH","UH",-14.28516111,-170.5535361,"112","MESONET",NA,NA,NA,16905.2054314883
"11","fagaitua","USGS",-14.26727222,-170.61705,"160","USGS",1.38269331552981,2959,0.698320264350684,10199.158615085
"12","GML_SMO","NOAA",-14.2474,-170.5644,"138","NOAA",NA,NA,NA,16216.607825766
"13","iliili","USGS",-14.34180556,-170.7469444,"200","USGS",NA,NA,NA,7624.48666214269
"14","malaeimi","USGS",-14.31166667,-170.7327778,"150","USGS",NA,NA,NA,4004.49801820379
"15","malaeimi_1691","USGS",-14.31754722,-170.7392722,"140","USGS",0.940221020501222,3637,0.704132431633887,4949.75195742187
"16","maloata","USGS",-14.30726944,-170.8126056,"130","USGS",NA,NA,NA,11372.6730545922
"17","masefau","USGS",-14.26055556,-170.62,"730","USGS",NA,NA,NA,10042.8005218381
"18","matatula","USGS",-14.24699722,-170.5642722,"260","USGS",NA,NA,NA,16240.8567469208
"19","mt_alava","USGS",-14.26560556,-170.6889944,"1,610","USGS",NA,NA,NA,2985.5137011551
"20","pioa_afono","USGS",-14.26643889,-170.6559389,"870","USGS",NA,NA,NA,6132.62792127246
"21","poloa_UH","UH",-14.31958056,-170.8306889,"469","MESONET",NA,NA,NA,13617.6468546829
"22","satala","USGS",-14.27060556,-170.6939944,"5","USGS",1.06213287601677,2934,0.830237881301197,2217.96978603703
"23","siufaga_WRCC","WRCC",-14.276111,-170.721944,"480","WRCC",NA,NA,NA,1476.13272061462
"24","toa_ridge_WRCC","WRCC",-14.261131,-170.687222,"1285","WRCC",NA,NA,NA,3459.70918880674
"25","vaipito_res","USGS",-14.28294444,-170.7101944,"305","USGS",NA,NA,NA,NA
"26","vaipito_UH","UH",-14.282975,-170.7106361,"302","MESONET",NA,NA,NA,47.7794385594512
"27","vaipito2000","USGS",-14.28866111,-170.70705,"460","USGS",NA,NA,NA,717.753490587744
